dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
BSD100 - 4x upscaling,,# 27,SSIM,0.6935,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 5,MOS,1.47,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 8,PSNR,27.58,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 1,SSIM,0.762,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 2,MOS,2.29,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 31,PSNR,25.16,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 29,SSIM,0.6688,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 1,MOS,3.56,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 37,PSNR,25.99,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 29,SSIM,0.7486,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 5,MOS,1.8,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 11,PSNR,28.49,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 1,SSIM,0.8184,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 2,MOS,2.98,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 36,PSNR,26.02,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 31,SSIM,0.7397,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 1,MOS,3.72,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 38,PSNR,24.64,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 32,SSIM,0.71,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set14 - 4x upscaling,,# 6,MOS,1.2,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 34,PSNR,26.26,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 33,SSIM,0.7552,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 6,MOS,1.28,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 32,PSNR,28.43,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 31,SSIM,0.8211,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 5,MOS,1.97,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 10,PSNR,32.05,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 2,SSIM,0.9019,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 2,MOS,3.37,SRResNet,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 30,PSNR,29.4,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 29,SSIM,0.8472,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Set5 - 4x upscaling,,# 1,MOS,3.58,SRGAN,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
Unrestricted,,# 2,F0.5,61.34,CNN Seq2Seq + Fluency Boost,-,Grammatical Error Correction,Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study,/paper/reaching-human-level-performance-in-automatic,https://arxiv.org/pdf/1807.01270v5.pdf
Unrestricted,,# 1,F0.5,76.88,CNN Seq2Seq + Fluency Boost,-,Grammatical Error Correction,Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study,/paper/reaching-human-level-performance-in-automatic,https://arxiv.org/pdf/1807.01270v5.pdf
Unrestricted,,# 1,GLEU,62.37,CNN Seq2Seq + Fluency Boost and inference,-,Grammatical Error Correction,Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study,/paper/reaching-human-level-performance-in-automatic,https://arxiv.org/pdf/1807.01270v5.pdf
BUCC French-to-English,,# 1,F1 score,93.91,Massively Multilingual Sentence Embeddings,-,Cross-Lingual Bitext Mining,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
BUCC German-to-English,,# 1,F1 score,96.19,Massively Multilingual Sentence Embeddings,-,Cross-Lingual Bitext Mining,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
MLDoc Zero-Shot English-to-French,,# 1,Accuracy,77.95%,Massively Multilingual Sentence Embeddings,-,Cross-Lingual Document Classification,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
MLDoc Zero-Shot English-to-German,,# 1,Accuracy,84.78%,Massively Multilingual Sentence Embeddings,-,Cross-Lingual Document Classification,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
MLDoc Zero-Shot English-to-Spanish,,# 1,Accuracy,77.33%,Massively Multilingual Sentence Embeddings,-,Cross-Lingual Document Classification,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
XNLI Zero-Shot English-to-French,,# 1,Accuracy,71.9%,BiLSTM,-,Cross-Lingual Natural Language Inference,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
XNLI Zero-Shot English-to-German,,# 1,Accuracy,72.6%,BiLSTM,-,Cross-Lingual Natural Language Inference,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
XNLI Zero-Shot English-to-Spanish,,# 2,Accuracy,72.9%,BiLSTM,-,Cross-Lingual Natural Language Inference,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,/paper/massively-multilingual-sentence-embeddings,https://arxiv.org/pdf/1812.10464v1.pdf
WMT2014 English-German,,# 11,BLEU score,26.1,SliceNet,-,Machine Translation,Depthwise Separable Convolutions for Neural Machine Translation,/paper/depthwise-separable-convolutions-for-neural,https://arxiv.org/pdf/1706.03059v2.pdf
bAbi,,# 3,Accuracy (trained on 10k),97.2%,DMN+,-,Question Answering,Dynamic Neural Turing Machine with Soft and Hard Addressing Schemes,/paper/dynamic-neural-turing-machine-with-soft-and,https://arxiv.org/pdf/1607.00036v2.pdf
bAbi,,# 5,Accuracy (trained on 1k),66.8%,DMN+,-,Question Answering,Dynamic Neural Turing Machine with Soft and Hard Addressing Schemes,/paper/dynamic-neural-turing-machine-with-soft-and,https://arxiv.org/pdf/1607.00036v2.pdf
ADE20K,,# 3,Validation mIoU,44.34,EncNet + JPU,-,Semantic Segmentation,FastFCN: Rethinking Dilated Convolution in the Backbone for Semantic Segmentation,/paper/fastfcn-rethinking-dilated-convolution-in-the,https://arxiv.org/pdf/1903.11816v1.pdf
ADE20K,,# 1,Test Score,0.5584,EncNet + JPU,-,Semantic Segmentation,FastFCN: Rethinking Dilated Convolution in the Backbone for Semantic Segmentation,/paper/fastfcn-rethinking-dilated-convolution-in-the,https://arxiv.org/pdf/1903.11816v1.pdf
PASCAL Context,,# 1,mIoU,53.1,Joint Pyramid Upsampling + EncNet,-,Semantic Segmentation,FastFCN: Rethinking Dilated Convolution in the Backbone for Semantic Segmentation,/paper/fastfcn-rethinking-dilated-convolution-in-the,https://arxiv.org/pdf/1903.11816v1.pdf
DUC 2004 Task 1,,# 5,ROUGE-1,29.21,SEASS,-,Text Summarization,Selective Encoding for Abstractive Sentence Summarization,/paper/selective-encoding-for-abstractive-sentence-1,https://aclweb.org/anthology/P17-1101
DUC 2004 Task 1,,# 5,ROUGE-2,9.56,SEASS,-,Text Summarization,Selective Encoding for Abstractive Sentence Summarization,/paper/selective-encoding-for-abstractive-sentence-1,https://aclweb.org/anthology/P17-1101
DUC 2004 Task 1,,# 4,ROUGE-L,25.51,SEASS,-,Text Summarization,Selective Encoding for Abstractive Sentence Summarization,/paper/selective-encoding-for-abstractive-sentence-1,https://aclweb.org/anthology/P17-1101
GigaWord,,# 6,ROUGE-1,36.15,SEASS,-,Text Summarization,Selective Encoding for Abstractive Sentence Summarization,/paper/selective-encoding-for-abstractive-sentence-1,https://aclweb.org/anthology/P17-1101
GigaWord,,# 8,ROUGE-2,17.54,SEASS,-,Text Summarization,Selective Encoding for Abstractive Sentence Summarization,/paper/selective-encoding-for-abstractive-sentence-1,https://aclweb.org/anthology/P17-1101
GigaWord,,# 7,ROUGE-L,33.63,SEASS,-,Text Summarization,Selective Encoding for Abstractive Sentence Summarization,/paper/selective-encoding-for-abstractive-sentence-1,https://aclweb.org/anthology/P17-1101
ChaLearn 2015,,# 1,MAE,3.51,DLDL+VGG-Face,-,Age Estimation,Deep Label Distribution Learning with Label Ambiguity,/paper/deep-label-distribution-learning-with-label,https://arxiv.org/pdf/1611.01731v2.pdf
MORPH Album2,,# 2,MAE,2.42Â±0.01,DLDL+VGG-Face,-,Age Estimation,Deep Label Distribution Learning with Label Ambiguity,/paper/deep-label-distribution-learning-with-label,https://arxiv.org/pdf/1611.01731v2.pdf
DukeMTMC-reID,,# 11,Rank-1,72.44,TriNet,-,Person Re-Identification,In Defense of the Triplet Loss for Person Re-Identification,/paper/in-defense-of-the-triplet-loss-for-person-re,https://arxiv.org/pdf/1703.07737v4.pdf
DukeMTMC-reID,,# 10,MAP,53.5,TriNet,-,Person Re-Identification,In Defense of the Triplet Loss for Person Re-Identification,/paper/in-defense-of-the-triplet-loss-for-person-re,https://arxiv.org/pdf/1703.07737v4.pdf
Market-1501,,# 13,Rank-1,84.92,TriNet,-,Person Re-Identification,In Defense of the Triplet Loss for Person Re-Identification,/paper/in-defense-of-the-triplet-loss-for-person-re,https://arxiv.org/pdf/1703.07737v4.pdf
Market-1501,,# 9,MAP,69.14,TriNet,-,Person Re-Identification,In Defense of the Triplet Loss for Person Re-Identification,/paper/in-defense-of-the-triplet-loss-for-person-re,https://arxiv.org/pdf/1703.07737v4.pdf
COCO,,# 3,FID,74.05,StackGAN-v1,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
COCO,,# 4,Inception score,8.45,StackGAN-v1,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
COCO,,# 4,FID,81.59,StackGAN-v2,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
COCO,,# 5,Inception score,8.3,StackGAN-v2,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
CUB,,# 1,FID,15.3,StackGAN-v2,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
CUB,,# 2,Inception score,3.82,StackGAN-v2,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
CUB,,# 2,FID,51.89,StackGAN-v1,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
CUB,,# 3,Inception score,3.7,StackGAN-v1,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
LSUN Bedroom 256 x 256,,# 6,FID,35.61,StackGAN-v2,-,Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
Oxford 102 Flowers,,# 1,FID,48.68,StackGAN-v2,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
Oxford 102 Flowers,,# 1,Inception score,3.26,StackGAN-v2,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
Oxford 102 Flowers,,# 2,FID,55.28,StackGAN-v1,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
Oxford 102 Flowers,,# 2,Inception score,3.2,StackGAN-v1,-,Text-to-Image Generation,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,/paper/stackgan-realistic-image-synthesis-with,https://arxiv.org/pdf/1710.10916v3.pdf
